station_name,latitude,longitude,total_bikes,institution name,category,distance,bank_count,bar_count,restaurant_count,total_institutions
Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,15,,,,,,,
2700 Eglinton Ave W,43.69074600637147,-79.47820143344333,40,,,,,,,
Wendover Rd / Bloor St W (Green P),43.6492,-79.50601999999999,14,,,,,,,
75 Holly St,43.7063279,-79.3962499,19,,,,,,,
Starspray Blvd / Lawrence Ave E,43.788525214554085,-79.1231844760227,18,,,,,,,
The Pond Rd / Shoreham Dr,43.772445,-79.511912,15,,,,,,,
Adelaide St W / Yonge St,43.65038002325664,-79.3787277120385,19,Bistro 1858Sud FornoTouchPizzaioloTD Bank Financial GroupHSBC of CanadaTD Canada Trust ATMTD Canada Trust Branch and ATM,restaurantrestaurantrestaurantrestaurantbankbankbankbank,274.0,4.0,0.0,4.0,8.0
Lynn Williams St / East Liberty St,43.638925,-79.4168659,14,Maurya East Indian Cuisine - Liberty VillageGolden Phoebe Tree IncLewsi Haus,restaurantrestaurantbar,101.0,0.0,1.0,2.0,3.0
King St E / Berkeley St,43.651885,-79.3649,31,Rooster Coffee HouseRBC Royal BankRBC Royal Bank,barbarbank,126.0,1.0,2.0,0.0,3.0
Royal York Rd / Mimico Ave,43.612063,-79.496573,18,,,,,,,
King St W / Charlotte St,43.645572,-79.39399,21,Belly Buster SubmarinesAroma Espresso BarBar HopBulk BarnAroma Espresso BarBarNet TVRBC Royal Bank,restaurantrestaurantbarbarbarbarbank,212.0,1.0,4.0,2.0,7.0
Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,19,,,,,,,
Harbord St / Clinton St,43.660414,-79.415646,13,Sam James Coffee BarMi Hermano Barbershop,barbar,61.0,0.0,2.0,0.0,2.0
Jameson Ave / Queen St W,43.63985,-79.43703,25,Tashi Delek Cafe,bar,48.0,0.0,1.0,0.0,1.0
High Park - Grenadier Cafe,43.645599,-79.4657123,10,Grenadier Restaurant parkingGrenadier Restaurant parking,restaurantbar,54.0,0.0,1.0,1.0,2.0
High Park Amphitheatre,43.646251,-79.46472,20,,,,,,,
Gothic Ave / Quebec Ave,43.65389,-79.4675,18,,,,,,,
111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,14,The HummussiahLocalista Food Truck,restaurantrestaurant,71.0,0.0,0.0,2.0,2.0
Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,18,,,,,,,
College St / Borden St,43.6571,-79.4056,11,The Hogtown VeganVoodoo ChildCloak & Dagger Irish PubVoodoo ChildMontreal Bar & GrillKing's Landing Barber Shoppe,restaurantrestaurantbarbarbarbar,82.0,0.0,4.0,2.0,6.0
Coxwell Ave / Plains Rd,43.69595,-79.328535,19,Knuckle SandwichThai to GoKnuckle SandwichLickadee Split Ice Cream ShoppeStarbucksThai to Go,restaurantrestaurantbarbarbarbar,208.0,0.0,4.0,2.0,6.0
Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,15,SOCO Kitchen + BarSOCO Kitchen + BarChar No. 5Delta Hotels by Marriott Toronto,restaurantbarbarbar,137.0,0.0,3.0,1.0,4.0
Glen Long Community Centre,43.70820992643782,-79.45627808717194,14,,,,,,,
Taddle Creek Park,43.66986,-79.398443,15,,,,,,,
Bloor St E / Huntley St - SMART,43.671535,-79.379173,20,Las PatronasKibo Sushi HouseLas PatronasYK Beauty Bar,restaurantbarbarbar,179.0,0.0,3.0,1.0,4.0
Gerrard St E / Leslie St,43.669813,-79.3335,23,,,,,,,
Eglinton Ave W / Prospect Cemetery,43.69415,-79.45782580000001,19,Brazilian Choice,restaurant,10.0,0.0,0.0,1.0,1.0
Maud St / Adelaide St W - SMART,43.6460145694434,-79.39960497726345,15,The Local Barber & Co,bar,36.0,0.0,1.0,0.0,1.0
Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,18,Le Muffin Plus,restaurant,27.0,0.0,0.0,1.0,1.0
High Park - West Rd,43.651922,-79.465693,22,,,,,,,
King St W / Jordan St,43.648928,-79.378623,9,Royal EateryArtisan Bakery and FoodsHenri's Bar at One King West hotelBistroSecond Cup Café featuring Pinkberry Frozen YogurtOne King West Hotel . ResidenceStarbucksCollins Barrow Toronto LLPDevin Bains Professional Corp BarristersTraub Moldaver BarristersHenri's Bar at One King West hotelBall Vivienne Barr & SolctrTeller's Bar and LoungeRBCCibc Private Wealth ManagementTD Bank Financial GroupBMO Bank of MontrealRBC Royal Bank,restaurantrestaurantrestaurantrestaurantrestaurantbarbarbarbarbarbarbarbarbankbankbankbankbank,703.0,5.0,8.0,5.0,18.0
Morningside Park (Highland Creek Trail),43.779353,-79.193023,23,,,,,,,
Ellesmere Rd / Markham Rd,43.77682938751077,-79.2305003612381,15,Pizza NovaPizza Nova,restaurantbar,98.0,0.0,1.0,1.0,2.0
King St W / Cowan Ave - SMART,43.637922,-79.431734,16,Domino's PizzaBatibotDomino's PizzaHappy Coffee & WinePharmacy Bar,restaurantrestaurantbarbarbar,117.0,0.0,3.0,2.0,5.0
Trethewey Dr / Black Creek Dr,43.695498400279796,-79.48809394482672,14,Planet Pizza & WingsTim Hortons,restaurantbar,52.0,0.0,1.0,1.0,2.0
Adelaide St W / Bay St,43.650152,-79.379856,22,Baking MemoriesAlex ZommerCafe 1808 CanadaAmara Wall SytemsPie SquaredSalad DaysMarche RestaurantMean BaoMucho BurritoVegbakeryThe Rabbit HoleArterra Wines Canada IncBarefoot LiliesBarriebrooker.ComBartender & Mixology Training - Itrain TorontoBartium - Low-Cost Website Design in TorontoPari Lash & Beauty BarDirk's Bar and GrillBarney River Investments,restaurantrestaurantrestaurantrestaurantrestaurantrestaurantrestaurantrestaurantrestaurantrestaurantbarbarbarbarbarbarbarbarbar,537.0,0.0,9.0,10.0,19.0
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,33,,,,,,,
Brahms Ave / Finch Ave E,43.79236326442992,-79.35836318028717,19,,,,,,,
King St W / Crawford St,43.6417852,-79.4131148,23,,,,,,,
Isabella St / Church St,43.66834,-79.38235,27,Church Street EspressoPiedmont Coffee BarChurch Street EspressoPrayosha Threading & Wax BarBarks and Rec Downtown,restaurantbarbarbarbar,200.0,0.0,4.0,1.0,5.0
Durie St / Dundas St W,43.665523,-79.484892,23,,,,,,,
Trent Ave / Danforth Ave,43.689293,-79.295895,23,Double Sushi Japanese RestaurantPizza PizzaTwo Brothers ShawarmaShirley RestaurantDouble Sushi Japanese RestaurantPizza PizzaAfghan KebabTwo Brothers ShawarmaDennis Barber ShopBMO Bank of Montreal,restaurantrestaurantrestaurantrestaurantbarbarbarbarbarbank,321.0,1.0,5.0,4.0,10.0
Marilyn Bell Park Tennis Court,43.633537,-79.437461,26,,,,,,,
Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,13,,,,,,,
Joe Shuster Way / King St W ,43.64039672322004,-79.4237424131447,17,McDonald'sThe Suburban EmbassyGIOIA Beauty Bar & Spa,restaurantbarbar,72.0,0.0,2.0,1.0,3.0
Sherbourne St / Wellesley St E,43.6673,-79.374,30,,,,,,,
Lower Jarvis St / The Esplanade,43.6478206,-79.3704721,14,Pizza HutTim Hortons,restaurantbar,36.0,0.0,1.0,1.0,2.0
Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,15,,,,,,,
135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,16,,,,,,,
15 Price St ,43.6799477790745,-79.38994813684005,10,TerroniTerroniBar Centrale di Terroni,restaurantbarbar,147.0,0.0,2.0,1.0,3.0
Jarvis St / Dundas St E,43.657266,-79.374756,25,Casey's Outdoor PatioStarbucksHilton Garden Inn Toronto City CentreTD Bank Financial GroupTD Canada Trust ATM,restaurantbarbarbankbank,202.0,2.0,2.0,1.0,5.0
Orde St / McCaul St,43.6580442,-79.3927404,15,,,,,,,
University Ave / King St W - SMART,43.6477785,-79.3847928,22,"Sam James Coffee BarSam James Coffee BarStockwood Spies Barristers & SolicitorsBaring Asset Management, Representative OfficeBdc-Business Development Bank of CanadaZero Canada",restaurantbarbarbarbankbank,204.0,2.0,3.0,1.0,6.0
Islington Ave / Finch Ave W,43.74445257991756,-79.56824985721664,12,,,,,,,
The Queensway at South Kingsway,43.63632,-79.47307,20,,,,,,,
Roehampton Ave / Bayview Ave,43.711751,-79.378615,27,Tosto Quickfire Pizza PastaTostoTosto Quickfire Pizza PastaThe Beer StoreTosto,restaurantrestaurantbarbarbar,158.0,0.0,3.0,2.0,5.0
Phoebe St / Spadina Ave,43.650033,-79.396555,32,"Hotel OchoTammy Law, Barrister and Solicitor",barbar,46.0,0.0,2.0,0.0,2.0
Yonge St / Lawrence Ave E,43.7254665,-79.40115449999999,21,,,,,,,
Bay St / Bloor St W (East Side),43.66943,-79.38915,14,Il Gran CaffèBirrotecaEataly TorontoBenefit Cosmetics Brow BarDrBarbara CaffreyTimothy's Espresso BarTD Bank Financial GroupCanadian Blood SvcTd WaterhouseTD Canada Trust Branch and ATM,restaurantbarbarbarbarbarbankbankbankbank,381.0,4.0,5.0,1.0,10.0
Symington Ave / Dupont St,43.665538,-79.451263,15,BMO Bank of Montreal,bank,44.0,1.0,0.0,0.0,1.0
St. Clair Ave W / Osler St,43.6739269797493,-79.46068479021301,10,Pho XuaDanaag Vietnamese RestaurantPho XuaUpscale Beauty SalonDanaag Vietnamese RestaurantHuong Viet Restaurant,restaurantrestaurantbarbarbarbar,233.0,0.0,4.0,2.0,6.0
Bridgman Ave / Bathurst St,43.674444,-79.414722,15,Back Alley Barbell,bar,14.0,0.0,1.0,0.0,1.0
