station_name,latitude,longitude,total_bikes
Bloor St W / Christie St,43.6638889,-79.41888888888889,16
Sherbourne St N / Elm Ave,43.6752732,-79.3778458,19
Woodbine Ave / O'Connor Dr,43.699281,-79.318802,19
Danforth Ave / Lamb Ave,43.681991,-79.329455,19
Shaw St / Essex St - SMART,43.667076,-79.425116,14
The Well,43.643025055165865,-79.39430137761319,6
Elwood Blvd / Avenue Rd,43.707049,-79.40966,22
Cherry St / Lake Shore Blvd E,43.64827015761016,-79.35651733677065,15
Eglinton Ave E / Brentcliffe Rd,43.714305793017544,-79.36089045040129,13
Cedar Dr / Eglinton Ave E,43.744208202155754,-79.21564636613158,10
Keele St / Dovehouse Ave - SMART,43.7494501,-79.4869662,16
Barton Ave / Howland Ave - SMART,43.66842,-79.410585,27
75 Thorncliffe Park Dr,43.70518328279426,-79.34224729962946,9
Elizabeth St / Elm St,43.6570908165693,-79.38593668834272,22
Second St / Lake Shore Blvd W,43.60191488118503,-79.49941888654288,15
Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,14
Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,20
Danforth Ave / Barrington Ave,43.688325,-79.300463,15
Tecumseth St / Queen St W - SMART,43.646552,-79.406468,9
Scarborough Soccer Centre,43.7154661,-79.2876595,19
Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,16
Fairglen Cres / Weston Rd,43.70876747477083,-79.53445192394257,11
Yonge St / Aylmer Ave,43.675492,-79.388858,21
Beltline Trail / Yonge St,43.6962302,-79.39504339999999,22
University Ave / Richmond St W,43.64981903446256,-79.38641270251617,13
Bloor St W / Old Mill Trl,43.65016869999999,-79.4963345,16
Fairmount Park,43.6765897,-79.3163022,19
Victoria Park Ave / Edge Park Ave,43.717678679534906,-79.29961580314475,16
Markham Rd / The Meadoway ,43.77121894873629,-79.22956526983644,18
Central Tech  (Harbord St),43.661975,-79.407896,11
Victoria Park Ave / Dawes Rd,43.706466,-79.29511,19
Thompson St / Broadview Ave - SMART,43.659471,-79.350325,24
St. George St / Bloor St W,43.66713121831853,-79.3995550638237,14
College St / Markham St,43.6563888888889,-79.4091666666667,17
Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,16
Ling Rd / Morningside Ave,43.766663817888656,-79.18521765344238,18
Yonge St / Yorkville Ave,43.671944,-79.387778,16
1 Market St,43.6469928,-79.3706665,18
Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,12
Midland Ave / Kingston Rd,43.7128578,-79.2487086,16
Firvalley Ct / Warden Ave,43.7032112,-79.2787149,19
OCAD University,43.65231552304792,-79.39091185000235,22
